date,actual,RF,LSTM,AMLSTM,Our_Model
2024-04-16 06:00:00,2.21,19.8454,25.338898,30.544146,36.63512
2024-04-16 06:15:00,11.11,25.16737413442849,28.183052,19.323494,65.33129
2024-04-16 06:30:00,31.01,46.73744274193548,11.520431,32.988922,69.835075
2024-04-16 06:45:00,52.63,61.80041250000001,31.051472,25.381865,108.43399
2024-04-16 07:00:00,79.16,95.96829999999989,43.567883,45.999252,112.984146
2024-04-16 07:15:00,129.73,141.81050986024837,83.03348,81.964836,140.15562
2024-04-16 07:30:00,222.51,216.05832499999977,87.08882,83.98953,165.89159
2024-04-16 07:45:00,237.11,160.5305038461539,118.57132,115.49641,217.6803
2024-04-16 08:00:00,215.35,182.7067635714289,154.91614,129.74063,242.53235
2024-04-16 08:15:00,338.58,314.6808499999999,170.32182,159.8811,287.65662
2024-04-16 08:30:00,346.32,408.0682250000004,189.47134,194.42216,309.18192
2024-04-16 08:45:00,366.67,414.0210000000003,237.87126,209.69858,354.50296
2024-04-16 09:00:00,498.12,476.3391249999994,260.12997,229.20532,405.31796
2024-04-16 09:15:00,461.68,547.1711499999992,276.45532,244.46721,428.77194
2024-04-16 09:30:00,496.17,574.0213999999996,329.92084,289.63467,469.96045
2024-04-16 09:45:00,632.65,581.944675,363.56802,310.35345,499.76465
2024-04-16 10:00:00,706.21,614.2102999999998,388.60968,360.59366,520.0742
2024-04-16 10:15:00,735.78,661.0463500000012,422.58276,350.579,562.15466
2024-04-16 10:30:00,728.35,657.7433750000015,429.43027,383.95947,597.9149
2024-04-16 10:45:00,742.79,669.7951750000002,458.5851,412.96588,619.39825
2024-04-16 11:00:00,814.68,572.0549250000003,487.2135,442.06622,637.11957
2024-04-16 11:15:00,835.5,662.7927500000001,505.16568,445.2611,686.00854
2024-04-16 11:30:00,869.69,647.5989000000004,518.7584,459.4082,681.0698
2024-04-16 11:45:00,865.17,629.2261999999996,534.381,473.7774,688.9582
2024-04-16 12:00:00,883.98,660.0447249999996,519.6914,497.7219,707.06354
2024-04-16 12:15:00,904.75,557.6516499999992,544.1375,485.95074,690.7769
2024-04-16 12:30:00,889.72,574.5539749999991,544.7625,481.35947,687.4467
2024-04-16 12:45:00,879.09,562.7469749999996,548.7821,514.55396,698.70776
2024-04-16 13:00:00,872.51,574.3174250000004,536.3358,501.60104,691.33875
2024-04-16 13:15:00,881.27,521.0374500000003,533.7849,499.83392,669.1961
2024-04-16 13:30:00,867.53,406.2075500000003,547.4996,504.44794,691.2201
2024-04-16 13:45:00,855.28,271.7189410000006,505.89264,499.22134,730.435
2024-04-16 14:00:00,838.12,295.3535388038126,492.30566,478.66046,705.72864
2024-04-16 14:15:00,810.47,317.8665371797834,468.68246,468.93353,664.20715
2024-04-16 14:30:00,781.89,209.31847500000015,460.9698,456.34448,623.3668
2024-04-16 14:45:00,618.74,215.154925,427.48245,466.0419,623.48553
2024-04-16 15:00:00,667.13,356.1242000000002,398.6391,416.71234,574.60516
2024-04-16 15:15:00,658.43,479.11549999999966,376.17676,386.3939,554.95013
2024-04-16 15:30:00,544.8,499.1246499999993,350.7713,368.58374,525.8592
2024-04-16 15:45:00,555.52,464.2343750000001,305.99792,348.1099,473.54965
2024-04-16 16:00:00,500.11,480.6141499999995,273.55902,310.34915,436.06033
2024-04-16 16:15:00,436.6,451.0827250000003,223.50566,289.95306,407.8329
2024-04-16 16:30:00,407.24,415.8027750000006,202.71632,245.46935,339.69064
2024-04-16 16:45:00,350.86,364.8748750000005,178.15182,231.62738,319.84537
2024-04-16 17:00:00,289.73,303.46402499999994,126.545235,184.15266,276.95618
2024-04-16 17:15:00,213.55,225.6710500000001,127.40714,149.18767,240.8433
2024-04-16 17:30:00,178.15,201.7222749999999,104.01601,126.859085,206.91547
2024-04-16 17:45:00,108.02,178.49210000000002,77.8849,92.54342,169.53557
2024-04-16 18:00:00,96.0,99.91290000000006,45.78978,86.4225,138.74211
2024-04-16 18:15:00,51.92,44.65915744704223,39.874996,60.45741,133.4189
2024-04-16 18:30:00,14.74,17.287705593297083,16.460972,55.74266,101.410645
2024-04-16 18:45:00,2.05,2.4780249999999997,14.126555,41.85845,89.085014
2024-04-16 19:00:00,0.44,0.5079250000000001,10.878135,38.86745,99.281876
2024-04-17 06:00:00,5.62,8.451598913219598,59.030537,44.405846,0.0
2024-04-17 06:15:00,22.04,23.941335690647065,53.034386,52.474277,1.2236211
2024-04-17 06:30:00,38.17,31.994946666666625,41.590656,53.30355,12.259174
2024-04-17 06:45:00,54.77,51.689800000000034,63.110634,49.753555,63.394962
2024-04-17 07:00:00,88.39,94.12786447368435,100.730774,85.536,88.38071
2024-04-17 07:15:00,173.63,138.36469837662335,152.53549,131.63173,135.3685
2024-04-17 07:30:00,235.66,200.35735652173943,161.49324,149.0665,191.0033
2024-04-17 07:45:00,278.71,204.8080791666669,200.89621,186.72481,239.60725
2024-04-17 08:00:00,323.17,220.73169124761623,242.49228,223.1004,278.05676
2024-04-17 08:15:00,382.73,325.6869142857144,272.79065,266.11502,367.2011
2024-04-17 08:30:00,438.76,373.2951317307697,307.74298,315.0149,413.6608
2024-04-17 08:45:00,493.01,352.29804450930203,377.5802,339.73392,466.66763
2024-04-17 09:00:00,541.38,409.6163134615381,412.60696,353.3826,526.7578
2024-04-17 09:15:00,586.3,462.4684499642696,440.46597,405.36957,561.41437
2024-04-17 09:30:00,632.41,427.4209725672876,496.61526,443.4635,615.36163
2024-04-17 09:45:00,670.3,606.4087990030761,562.32434,484.0638,674.1513
2024-04-17 10:00:00,715.0,607.8038250000004,600.8988,537.76874,698.97314
2024-04-17 10:15:00,742.87,688.5352250000017,632.0157,532.10345,712.3858
2024-04-17 10:30:00,773.69,638.022900000001,672.43384,575.674,766.8259
2024-04-17 10:45:00,817.34,718.6825500000002,703.7271,621.10876,808.31396
2024-04-17 11:00:00,855.08,810.029300000001,742.71545,647.10675,828.492
2024-04-17 11:15:00,881.55,817.9035250000005,762.8725,669.22906,851.7816
2024-04-17 11:30:00,891.15,827.2148999999993,787.77563,684.176,844.4003
2024-04-17 11:45:00,910.94,839.6998499999995,823.538,702.6361,854.07135
2024-04-17 12:00:00,923.37,858.0875499999996,798.9951,734.9702,898.56116
2024-04-17 12:15:00,915.67,858.1681749999983,830.12335,717.9805,878.5284
2024-04-17 12:30:00,911.38,856.4500250000003,825.6717,712.644,870.9375
2024-04-17 12:45:00,912.55,822.3108249999998,843.9785,746.04016,863.515
2024-04-17 13:00:00,907.61,816.8324000000007,811.9496,727.0867,865.9703
2024-04-17 13:15:00,903.37,853.8662499999991,822.2076,726.2095,874.93097
2024-04-17 13:30:00,898.75,829.7433999999997,845.09216,709.2049,848.0823
2024-04-17 13:45:00,885.05,812.2691499999988,778.11334,705.5655,829.89764
2024-04-17 14:00:00,871.96,753.2268749999988,765.37256,686.2957,833.7603
2024-04-17 14:15:00,844.0,746.2856499999992,722.1458,675.90826,797.3221
2024-04-17 14:30:00,811.58,739.4309249999992,693.3596,655.1257,765.7821
2024-04-17 14:45:00,778.53,608.140272686191,660.44745,647.58264,734.05334
2024-04-17 15:00:00,743.44,664.6112249999991,601.9189,588.243,672.72516
2024-04-17 15:15:00,692.76,626.4470749999989,588.3417,553.0992,635.6296
2024-04-17 15:30:00,628.76,538.5657425824169,543.91785,527.3428,603.0653
2024-04-17 15:45:00,591.39,528.617239548495,480.9789,487.55118,561.51807
2024-04-17 16:00:00,539.55,478.0958749999997,440.53326,457.00684,500.0038
2024-04-17 16:15:00,486.24,411.6618926324404,359.27115,413.75485,422.44843
2024-04-17 16:30:00,427.28,370.5540901346792,332.5711,361.20633,372.58725
2024-04-17 16:45:00,372.28,306.7368891098481,292.34314,318.54837,321.8797
2024-04-17 17:00:00,309.95,292.95088012820463,207.05254,264.92447,264.74005
2024-04-17 17:15:00,262.83,207.94075,201.30836,219.96213,200.07442
